Faktor:3619 Corr:-46.25
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleAY_Out	SampleAY_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	-141.015	-510332	-1.242	-4496	0.000	0	0.000	0	
1	0.10	-140.397	-508098	-2.569	-9297	0.000	-1	0.000	-1	
2	0.20	-139.783	-505874	-3.896	-14101	-0.001	-2	-0.001	-2	
3	0.30	-139.170	-503657	-5.224	-18906	-0.001	-3	-0.001	-3	
4	0.40	-138.582	-501529	-6.573	-23789	-0.001	-3	-0.001	-3	
5	0.50	-137.974	-499329	-7.903	-28600	-0.001	-4	-0.001	-4	
6	0.60	-137.369	-497137	-9.233	-33413	-0.001	-5	-0.001	-5	
7	0.70	-136.765	-494952	-10.563	-38227	-0.002	-6	-0.002	-6	
8	0.80	-136.185	-492855	-11.914	-43117	-0.002	-6	-0.002	-6	
9	0.90	-135.586	-490686	-13.245	-47935	-0.002	-7	-0.002	-7	
10	1.00	-134.988	-488523	-14.577	-52754	-0.002	-8	-0.002	-8	
11	1.10	-134.393	-486369	-15.909	-57573	-0.002	-9	-0.002	-9	
12	1.20	-133.800	-484221	-17.240	-62393	-0.003	-10	-0.003	-10	
13	1.30	-133.230	-482159	-18.593	-67289	-0.003	-10	-0.003	-10	
14	1.40	-132.640	-480025	-19.926	-72111	-0.003	-11	-0.003	-11	
15	1.50	-132.053	-477900	-21.258	-76931	-0.003	-12	-0.003	-12	
16	1.60	-131.467	-475778	-22.590	-81754	-0.004	-13	-0.004	-13	
17	1.70	-130.905	-473745	-23.943	-86650	-0.004	-13	-0.004	-13	
18	1.80	-130.323	-471640	-25.276	-91473	-0.004	-14	-0.004	-14	
19	1.90	-129.743	-469540	-26.608	-96295	-0.004	-15	-0.004	-15	
20	2.00	-129.164	-467445	-27.941	-101117	-0.004	-16	-0.004	-16	
21	2.10	-128.609	-465436	-29.294	-106015	-0.004	-16	-0.004	-16	
