Faktor:3619 Corr:-46.25
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleAY_Out	SampleAY_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	-140.993	-510252	-1.222	-4422	0.000	-1	0.000	-1	
1	0.10	-140.397	-508098	-2.569	-9297	0.000	-1	0.000	-1	
2	0.20	-139.783	-505874	-3.896	-14101	-0.001	-2	-0.001	-2	
3	0.30	-139.170	-503657	-5.224	-18906	-0.001	-3	-0.001	-3	
4	0.40	-138.560	-501450	-6.553	-23715	-0.001	-4	-0.001	-4	
5	0.50	-137.974	-499329	-7.903	-28600	-0.001	-4	-0.001	-4	
6	0.60	-137.369	-497137	-9.233	-33413	-0.001	-5	-0.001	-5	
7	0.70	-136.765	-494952	-10.563	-38227	-0.002	-6	-0.002	-6	
8	0.80	-136.163	-492775	-11.894	-43043	-0.002	-7	-0.002	-7	
9	0.90	-135.586	-490686	-13.245	-47935	-0.002	-7	-0.002	-7	
10	1.00	-134.988	-488523	-14.577	-52754	-0.002	-8	-0.002	-8	
11	1.10	-134.393	-486369	-15.909	-57573	-0.002	-9	-0.002	-9	
12	1.20	-133.800	-484221	-17.240	-62393	-0.003	-10	-0.003	-10	
13	1.30	-133.230	-482159	-18.593	-67289	-0.003	-10	-0.003	-10	
14	1.40	-132.640	-480025	-19.926	-72111	-0.003	-11	-0.003	-11	
15	1.50	-132.053	-477900	-21.258	-76931	-0.003	-12	-0.003	-12	
16	1.60	-131.467	-475778	-22.590	-81754	-0.004	-13	-0.004	-13	
17	1.70	-130.905	-473745	-23.943	-86650	-0.004	-13	-0.004	-13	
18	1.80	-130.323	-471640	-25.276	-91473	-0.004	-14	-0.004	-14	
19	1.90	-129.743	-469540	-26.608	-96295	-0.004	-15	-0.004	-15	
20	2.00	-129.164	-467445	-27.941	-101117	-0.004	-16	-0.004	-16	
21	2.10	-128.587	-465356	-29.274	-105941	-0.005	-17	-0.005	-17	
22	2.20	-128.034	-463354	-30.627	-110839	-0.005	-17	-0.005	-17	
23	2.30	-127.460	-461276	-31.960	-115662	-0.005	-18	-0.005	-18	
24	2.40	-126.887	-459204	-33.293	-120486	-0.005	-19	-0.005	-19	
25	2.50	-126.315	-457135	-34.626	-125311	-0.006	-20	-0.006	-20	
26	2.60	-125.768	-455154	-35.979	-130209	-0.006	-20	-0.006	-20	
27	2.70	-125.199	-453096	-37.312	-135033	-0.006	-21	-0.006	-21	
28	2.80	-124.632	-451043	-38.645	-139858	-0.006	-22	-0.006	-22	
29	2.90	-124.066	-448994	-39.979	-144683	-0.006	-23	-0.006	-23	
30	3.00	-123.523	-447031	-41.333	-149583	-0.006	-23	-0.006	-23	
31	3.10	-122.960	-444992	-42.666	-154409	-0.007	-24	-0.007	-24	
32	3.20	-122.398	-442958	-44.000	-159236	-0.007	-25	-0.007	-25	
33	3.30	-121.836	-440926	-45.334	-164063	-0.007	-26	-0.007	-26	
34	3.40	-121.300	-438984	-46.689	-168966	-0.007	-26	-0.007	-26	
35	3.50	-120.741	-436963	-48.023	-173796	-0.007	-27	-0.007	-27	
36	3.60	-120.185	-434948	-49.358	-178625	-0.008	-28	-0.008	-28	
37	3.70	-119.629	-432939	-50.693	-183458	-0.008	-29	-0.008	-29	
38	3.80	-119.098	-431015	-52.049	-188366	-0.008	-29	-0.008	-29	
39	3.90	-118.545	-429016	-53.385	-193201	-0.008	-30	-0.008	-30	
40	4.00	-117.994	-427020	-54.721	-198036	-0.009	-31	-0.009	-31	
41	4.10	-117.444	-425031	-56.058	-202874	-0.009	-32	-0.009	-32	
42	4.20	-116.918	-423127	-57.416	-207787	-0.009	-32	-0.009	-32	
43	4.30	-116.371	-421148	-58.753	-212628	-0.009	-33	-0.009	-33	
44	4.40	-115.826	-419173	-60.091	-217468	-0.009	-34	-0.009	-34	
45	4.50	-115.282	-417204	-61.429	-222312	-0.010	-35	-0.010	-35	
46	4.60	-114.761	-415319	-62.788	-227230	-0.010	-35	-0.010	-35	
47	4.70	-114.219	-413360	-64.127	-232076	-0.010	-36	-0.010	-36	
48	4.80	-113.679	-411405	-65.466	-236922	-0.010	-37	-0.010	-37	
49	4.90	-113.141	-409456	-66.806	-241771	-0.011	-38	-0.011	-38	
50	5.00	-112.626	-407595	-68.167	-246695	-0.011	-38	-0.011	-38	
51	5.10	-112.091	-405658	-69.507	-251547	-0.011	-39	-0.011	-39	
52	5.20	-111.557	-403725	-70.848	-256400	-0.011	-40	-0.011	-40	
53	5.30	-111.024	-401797	-72.190	-261255	-0.011	-41	-0.011	-41	
54	5.40	-110.516	-399956	-73.552	-266186	-0.011	-41	-0.011	-41	
55	5.50	-109.985	-398037	-74.895	-271045	-0.012	-42	-0.012	-42	
56	5.60	-109.456	-396122	-76.238	-275905	-0.012	-43	-0.012	-43	
57	5.70	-108.928	-394210	-77.582	-280769	-0.012	-44	-0.012	-44	
58	5.80	-108.424	-392386	-78.947	-285708	-0.012	-44	-0.012	-44	
59	5.90	-107.897	-390481	-80.292	-290577	-0.012	-45	-0.012	-45	
60	6.00	-107.372	-388581	-81.637	-295446	-0.013	-46	-0.013	-46	
61	6.10	-106.848	-386683	-82.985	-300321	-0.013	-47	-0.013	-47	
62	6.20	-106.348	-384874	-84.353	-305272	-0.013	-47	-0.013	-47	
63	6.30	-105.825	-382982	-85.701	-310153	-0.013	-48	-0.013	-48	
64	6.40	-105.304	-381094	-87.051	-315038	-0.014	-49	-0.014	-49	
65	6.50	-104.783	-379210	-88.402	-319927	-0.014	-50	-0.014	-50	
66	6.60	-104.287	-377414	-89.775	-324895	-0.014	-50	-0.014	-50	
67	6.70	-103.768	-375536	-91.128	-329791	-0.014	-51	-0.014	-51	
68	6.80	-103.250	-373660	-92.482	-334692	-0.014	-52	-0.014	-52	
69	6.90	-102.732	-371788	-93.837	-339597	-0.015	-53	-0.015	-53	
70	7.00	-102.239	-370004	-95.214	-344581	-0.015	-53	-0.015	-53	
71	7.10	-101.723	-368136	-96.572	-349493	-0.015	-54	-0.015	-54	
72	7.20	-101.569	-367580	-97.502	-352859	-0.015	-55	-0.015	-55	
73	7.30	-103.198	-373472	-98.717	-357258	-0.015	-56	-0.015	-56	
74	7.40	-104.832	-379388	-99.933	-361656	-0.016	-57	-0.016	-57	
75	7.50	-106.497	-385413	-101.170	-366134	-0.016	-57	-0.016	-57	
76	7.60	-108.145	-391376	-102.387	-370538	-0.016	-58	-0.016	-58	
77	7.70	-109.799	-397364	-103.604	-374944	-0.016	-59	-0.016	-59	
78	7.80	-111.460	-403374	-104.822	-379350	-0.017	-60	-0.017	-60	
79	7.90	-113.152	-409496	-106.060	-383830	-0.017	-60	-0.017	-60	
80	8.00	-114.826	-415556	-107.277	-388236	-0.017	-61	-0.017	-61	
81	8.10	-116.507	-421640	-108.494	-392640	-0.017	-62	-0.017	-62	
82	8.20	-118.195	-427749	-109.711	-397044	-0.017	-63	-0.017	-63	
