Faktor:3619 Corr:-46.25
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleAY_Out	SampleAY_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	-140.993	-510252	-1.222	-4422	0.000	-1	0.000	-1	
1	0.10	-140.397	-508098	-2.569	-9297	0.000	-1	0.000	-1	
2	0.20	-139.805	-505953	-3.917	-14175	0.000	-1	0.000	-1	
3	0.30	-139.192	-503737	-5.245	-18982	-0.001	-2	-0.001	-2	
4	0.40	-138.604	-501608	-6.594	-23864	-0.001	-2	-0.001	-2	
5	0.50	-137.996	-499408	-7.923	-28675	-0.001	-3	-0.001	-3	
6	0.60	-137.413	-497296	-9.274	-33562	-0.001	-3	-0.001	-3	
7	0.70	-136.831	-495190	-10.625	-38451	-0.001	-3	-0.001	-3	
8	0.80	-136.229	-493013	-11.956	-43267	-0.001	-4	-0.001	-4	
9	0.90	-135.652	-490924	-13.307	-48159	-0.001	-4	-0.001	-4	
10	1.00	-135.054	-488762	-14.639	-52977	-0.001	-5	-0.001	-5	
11	1.10	-134.481	-486687	-15.991	-57871	-0.001	-5	-0.001	-5	
12	1.20	-133.910	-484619	-17.343	-62765	-0.001	-5	-0.001	-5	
13	1.30	-133.318	-482478	-18.676	-67587	-0.002	-6	-0.002	-6	
14	1.40	-132.751	-480425	-20.028	-72483	-0.002	-6	-0.002	-6	
15	1.50	-132.185	-478378	-21.381	-77379	-0.002	-6	-0.002	-6	
16	1.60	-131.599	-476257	-22.714	-82201	-0.002	-7	-0.002	-7	
17	1.70	-131.038	-474226	-24.067	-87097	-0.002	-7	-0.002	-7	
18	1.80	-130.456	-472120	-25.399	-91919	-0.002	-8	-0.002	-8	
19	1.90	-129.898	-470100	-26.752	-96816	-0.002	-8	-0.002	-8	
20	2.00	-129.342	-468087	-28.105	-101713	-0.002	-8	-0.002	-8	
21	2.10	-128.765	-465999	-29.438	-106536	-0.002	-9	-0.002	-9	
22	2.20	-128.211	-463997	-30.791	-111434	-0.002	-9	-0.002	-9	
23	2.30	-127.660	-462001	-32.145	-116332	-0.002	-9	-0.002	-9	
24	2.40	-127.087	-459928	-33.477	-121154	-0.003	-10	-0.003	-10	
25	2.50	-126.538	-457942	-34.831	-126053	-0.003	-10	-0.003	-10	
26	2.60	-125.969	-455881	-36.164	-130878	-0.003	-11	-0.003	-11	
27	2.70	-125.422	-453904	-37.518	-135777	-0.003	-11	-0.003	-11	
28	2.80	-124.878	-451933	-38.872	-140676	-0.003	-11	-0.003	-11	
29	2.90	-124.312	-449885	-40.204	-145500	-0.003	-12	-0.003	-12	
30	3.00	-123.770	-447923	-41.558	-150400	-0.003	-12	-0.003	-12	
31	3.10	-123.207	-445885	-42.892	-155226	-0.004	-13	-0.004	-13	
32	3.20	-122.667	-443932	-44.246	-160126	-0.004	-13	-0.004	-13	
33	3.30	-122.129	-441985	-45.600	-165028	-0.004	-13	-0.004	-13	
34	3.40	-121.570	-439961	-46.935	-169856	-0.004	-14	-0.004	-14	
35	3.50	-121.034	-438023	-48.290	-174760	-0.004	-14	-0.004	-14	
36	3.60	-120.500	-436091	-49.645	-179664	-0.004	-14	-0.004	-14	
37	3.70	-119.945	-434081	-50.980	-184496	-0.004	-15	-0.004	-15	
38	3.80	-119.414	-432160	-52.336	-189403	-0.004	-15	-0.004	-15	
39	3.90	-118.862	-430161	-53.672	-194238	-0.004	-16	-0.004	-16	
40	4.00	-118.334	-428249	-55.028	-199148	-0.004	-16	-0.004	-16	
41	4.10	-117.807	-426343	-56.385	-204059	-0.004	-16	-0.004	-16	
42	4.20	-117.259	-424360	-57.723	-208898	-0.005	-17	-0.005	-17	
43	4.30	-116.734	-422462	-59.080	-213812	-0.005	-17	-0.005	-17	
44	4.40	-116.190	-420490	-60.418	-218653	-0.005	-18	-0.005	-18	
45	4.50	-115.668	-418602	-61.777	-223570	-0.005	-18	-0.005	-18	
46	4.60	-115.148	-416722	-63.136	-228488	-0.005	-18	-0.005	-18	
47	4.70	-114.608	-414765	-64.475	-233334	-0.005	-19	-0.005	-19	
48	4.80	-114.090	-412893	-65.834	-238255	-0.005	-19	-0.005	-19	
49	4.90	-113.575	-411029	-67.195	-243177	-0.005	-19	-0.005	-19	
50	5.00	-113.039	-409088	-68.534	-248026	-0.006	-20	-0.006	-20	
51	5.10	-112.527	-407234	-69.896	-252952	-0.006	-20	-0.006	-20	
52	5.20	-111.993	-405304	-71.237	-257806	-0.006	-21	-0.006	-21	
53	5.30	-111.484	-403460	-72.599	-262735	-0.006	-21	-0.006	-21	
54	5.40	-110.976	-401622	-73.961	-267666	-0.006	-21	-0.006	-21	
55	5.50	-110.447	-399706	-75.304	-272525	-0.006	-22	-0.006	-22	
56	5.60	-109.941	-397875	-76.668	-277460	-0.006	-22	-0.006	-22	
57	5.70	-109.436	-396050	-78.032	-282398	-0.006	-22	-0.006	-22	
58	5.80	-108.910	-394144	-79.376	-287262	-0.006	-23	-0.006	-23	
59	5.90	-108.407	-392326	-80.742	-292206	-0.006	-23	-0.006	-23	
60	6.00	-107.883	-390427	-82.088	-297077	-0.007	-24	-0.007	-24	
61	6.10	-107.382	-388616	-83.456	-302026	-0.007	-24	-0.007	-24	
62	6.20	-106.883	-386808	-84.824	-306978	-0.007	-24	-0.007	-24	
63	6.30	-106.361	-384922	-86.173	-311859	-0.007	-25	-0.007	-25	
64	6.40	-105.863	-383120	-87.544	-316820	-0.007	-25	-0.007	-25	
65	6.50	-105.344	-381239	-88.895	-321711	-0.007	-26	-0.007	-26	
66	6.60	-104.848	-379445	-90.268	-326679	-0.007	-26	-0.007	-26	
67	6.70	-104.354	-377656	-91.642	-331652	-0.007	-26	-0.007	-26	
68	6.80	-103.836	-375783	-92.997	-336555	-0.007	-27	-0.007	-27	
69	6.90	-103.343	-373999	-94.373	-341536	-0.007	-27	-0.007	-27	
70	7.00	-102.851	-372217	-95.750	-346521	-0.007	-27	-0.007	-27	
71	7.10	-102.336	-370354	-97.108	-351434	-0.008	-28	-0.008	-28	
72	7.20	-102.206	-369884	-98.059	-354876	-0.008	-28	-0.008	-28	
73	7.30	-103.838	-375788	-99.275	-359275	-0.008	-29	-0.008	-29	
74	7.40	-105.499	-381801	-100.511	-363751	-0.008	-29	-0.008	-29	
75	7.50	-107.166	-387835	-101.749	-368229	-0.008	-29	-0.008	-29	
76	7.60	-108.817	-393808	-102.966	-372634	-0.008	-30	-0.008	-30	
77	7.70	-110.498	-399892	-104.204	-377114	-0.008	-30	-0.008	-30	
78	7.80	-112.186	-406000	-105.442	-381596	-0.008	-30	-0.008	-30	
79	7.90	-113.857	-412048	-106.660	-386002	-0.009	-31	-0.009	-31	
80	8.00	-115.559	-418207	-107.898	-390482	-0.009	-31	-0.009	-31	
81	8.10	-117.243	-424303	-109.115	-394886	-0.009	-32	-0.009	-32	
82	8.20	-118.960	-430516	-110.352	-399365	-0.009	-32	-0.009	-32	
