Faktor:3649 Corr:-46.15
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleAY_Out	SampleAY_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	-139.854	-510327	-1.245	-4543	0.000	0	0.000	0	
1	0.10	-139.241	-508089	-2.574	-9394	0.000	-1	0.000	-1	
2	0.20	-138.630	-505861	-3.905	-14249	-0.001	-2	-0.001	-2	
3	0.30	-138.021	-503639	-5.236	-19107	-0.001	-3	-0.001	-3	
4	0.40	-137.437	-501508	-6.588	-24041	-0.001	-3	-0.001	-3	
5	0.50	-136.833	-499304	-7.921	-28903	-0.001	-4	-0.001	-4	
6	0.60	-136.231	-497107	-9.253	-33766	-0.001	-5	-0.001	-5	
7	0.70	-135.631	-494919	-10.587	-38632	-0.002	-6	-0.002	-6	
8	0.80	-135.056	-492818	-11.942	-43575	-0.002	-6	-0.002	-6	
9	0.90	-134.460	-490645	-13.276	-48443	-0.002	-7	-0.002	-7	
10	1.00	-133.867	-488479	-14.610	-53313	-0.002	-8	-0.002	-8	
11	1.10	-133.275	-486320	-15.945	-58183	-0.002	-9	-0.002	-9	
12	1.20	-132.686	-484170	-17.280	-63054	-0.003	-10	-0.003	-10	
13	1.30	-132.120	-482106	-18.636	-68003	-0.003	-10	-0.003	-10	
14	1.40	-131.534	-479968	-19.971	-72875	-0.003	-11	-0.003	-11	
15	1.50	-130.951	-477840	-21.307	-77748	-0.003	-12	-0.003	-12	
16	1.60	-130.369	-475716	-22.642	-82621	-0.004	-13	-0.004	-13	
17	1.70	-129.811	-473682	-23.998	-87568	-0.004	-13	-0.004	-13	
18	1.80	-129.233	-471573	-25.334	-92443	-0.004	-14	-0.004	-14	
19	1.90	-128.657	-469470	-26.669	-97316	-0.004	-15	-0.004	-15	
20	2.00	-128.083	-467374	-28.005	-102190	-0.004	-16	-0.004	-16	
21	2.10	-127.532	-465364	-29.361	-107139	-0.004	-16	-0.004	-16	
22	2.20	-126.960	-463278	-30.697	-112013	-0.005	-17	-0.005	-17	
23	2.30	-126.390	-461198	-32.033	-116889	-0.005	-18	-0.005	-18	
24	2.40	-125.822	-459123	-33.369	-121763	-0.005	-19	-0.005	-19	
25	2.50	-125.277	-457136	-34.726	-126714	-0.005	-19	-0.005	-19	
26	2.60	-124.711	-455071	-36.062	-131589	-0.005	-20	-0.005	-20	
27	2.70	-124.147	-453011	-37.398	-136465	-0.006	-21	-0.006	-21	
28	2.80	-123.583	-450956	-38.734	-141341	-0.006	-22	-0.006	-22	
29	2.90	-123.044	-448988	-40.091	-146292	-0.006	-22	-0.006	-22	
30	3.00	-122.483	-446942	-41.427	-151168	-0.006	-23	-0.006	-23	
31	3.10	-121.924	-444902	-42.764	-156045	-0.007	-24	-0.007	-24	
32	3.20	-121.366	-442865	-44.101	-160923	-0.007	-25	-0.007	-25	
33	3.30	-120.832	-440917	-45.458	-165877	-0.007	-25	-0.007	-25	
34	3.40	-120.277	-438891	-46.796	-170757	-0.007	-26	-0.007	-26	
35	3.50	-119.723	-436869	-48.133	-175637	-0.007	-27	-0.007	-27	
36	3.60	-119.171	-434854	-49.471	-180520	-0.008	-28	-0.008	-28	
37	3.70	-118.642	-432925	-50.830	-185478	-0.008	-28	-0.008	-28	
38	3.80	-118.093	-430920	-52.169	-190364	-0.008	-29	-0.008	-29	
39	3.90	-117.545	-428920	-53.508	-195250	-0.008	-30	-0.008	-30	
40	4.00	-116.998	-426924	-54.847	-200137	-0.008	-31	-0.008	-31	
41	4.10	-116.475	-425018	-56.207	-205101	-0.008	-31	-0.008	-31	
42	4.20	-115.931	-423032	-57.548	-209991	-0.009	-32	-0.009	-32	
43	4.30	-115.388	-421052	-58.888	-214884	-0.009	-33	-0.009	-33	
44	4.40	-114.847	-419077	-60.229	-219776	-0.009	-34	-0.009	-34	
45	4.50	-114.330	-417191	-61.591	-224745	-0.009	-34	-0.009	-34	
46	4.60	-113.792	-415226	-62.933	-229641	-0.010	-35	-0.010	-35	
47	4.70	-113.255	-413267	-64.275	-234539	-0.010	-36	-0.010	-36	
48	4.80	-112.719	-411312	-65.617	-239438	-0.010	-37	-0.010	-37	
49	4.90	-112.209	-409449	-66.981	-244413	-0.010	-37	-0.010	-37	
50	5.00	-111.676	-407506	-68.324	-249315	-0.010	-38	-0.010	-38	
51	5.10	-111.145	-405568	-69.668	-254218	-0.011	-39	-0.011	-39	
52	5.20	-110.616	-403637	-71.012	-259123	-0.011	-40	-0.011	-40	
53	5.30	-110.111	-401795	-72.378	-264106	-0.011	-40	-0.011	-40	
54	5.40	-109.584	-399873	-73.723	-269015	-0.011	-41	-0.011	-41	
55	5.50	-109.058	-397954	-75.069	-273926	-0.012	-42	-0.012	-42	
56	5.60	-108.533	-396038	-76.415	-278839	-0.012	-43	-0.012	-43	
57	5.70	-108.033	-394214	-77.783	-283829	-0.012	-43	-0.012	-43	
58	5.80	-107.511	-392307	-79.130	-288747	-0.012	-44	-0.012	-44	
59	5.90	-106.989	-390403	-80.479	-293669	-0.012	-45	-0.012	-45	
60	6.00	-106.469	-388504	-81.829	-298593	-0.013	-46	-0.013	-46	
61	6.10	-105.972	-386692	-83.200	-303595	-0.013	-46	-0.013	-46	
62	6.20	-105.454	-384801	-84.551	-308525	-0.013	-47	-0.013	-47	
63	6.30	-104.936	-382911	-85.903	-313460	-0.013	-48	-0.013	-48	
64	6.40	-104.419	-381025	-87.257	-318400	-0.013	-49	-0.013	-49	
65	6.50	-103.903	-379143	-88.612	-323344	-0.014	-50	-0.014	-50	
66	6.60	-103.412	-377349	-89.988	-328366	-0.014	-50	-0.014	-50	
67	6.70	-102.898	-375473	-91.345	-333317	-0.014	-51	-0.014	-51	
68	6.80	-102.384	-373598	-92.703	-338273	-0.014	-52	-0.014	-52	
69	6.90	-101.871	-371729	-94.062	-343233	-0.015	-53	-0.015	-53	
70	7.00	-101.383	-369947	-95.443	-348272	-0.015	-53	-0.015	-53	
71	7.10	-101.659	-370954	-96.343	-351554	-0.015	-54	-0.015	-54	
72	7.20	-103.289	-376900	-97.548	-355951	-0.015	-55	-0.015	-55	
73	7.30	-104.924	-382869	-98.754	-360352	-0.015	-56	-0.015	-56	
74	7.40	-106.590	-388948	-99.981	-364830	-0.015	-56	-0.015	-56	
75	7.50	-108.239	-394964	-101.187	-369232	-0.016	-57	-0.016	-57	
76	7.60	-109.894	-401003	-102.394	-373637	-0.016	-58	-0.016	-58	
77	7.70	-111.556	-407068	-103.602	-378043	-0.016	-59	-0.016	-59	
78	7.80	-113.249	-413246	-104.830	-382524	-0.016	-59	-0.016	-59	
79	7.90	-114.925	-419361	-106.036	-386927	-0.016	-60	-0.016	-60	
80	8.00	-116.608	-425501	-107.244	-391332	-0.017	-61	-0.017	-61	
81	8.10	-118.297	-431667	-108.450	-395735	-0.017	-62	-0.017	-62	
82	8.20	-118.579	-432696	-108.605	-396299	-0.017	-62	-0.017	-62	
83	8.30	-117.746	-429655	-107.911	-393769	-0.017	-63	-0.017	-63	
84	8.40	-116.914	-426621	-107.219	-391241	-0.018	-64	-0.018	-64	
85	8.50	-116.084	-423592	-106.525	-388711	-0.018	-65	-0.018	-65	
86	8.60	-115.281	-420662	-105.853	-386257	-0.018	-65	-0.018	-65	
87	8.70	-114.456	-417649	-105.159	-383727	-0.018	-66	-0.018	-66	
88	8.80	-113.632	-414642	-104.466	-381198	-0.018	-67	-0.018	-67	
89	8.90	-112.810	-411644	-103.773	-378669	-0.019	-68	-0.019	-68	
90	9.00	-112.014	-408740	-103.101	-376215	-0.019	-68	-0.019	-68	
91	9.10	-111.196	-405754	-102.408	-373687	-0.019	-69	-0.019	-69	
92	9.20	-110.380	-402777	-101.715	-371157	-0.019	-70	-0.019	-70	
93	9.30	-109.565	-399804	-101.022	-368629	-0.019	-71	-0.019	-71	
94	9.40	-108.777	-396926	-100.350	-366176	-0.019	-71	-0.019	-71	
95	9.50	-107.966	-393969	-99.657	-363649	-0.020	-72	-0.020	-72	
96	9.60	-107.157	-391017	-98.965	-361122	-0.020	-73	-0.020	-73	
97	9.70	-106.859	-389927	-98.784	-360464	-0.020	-74	-0.020	-74	
98	9.80	-107.619	-392702	-99.435	-362840	-0.021	-75	-0.021	-75	
99	9.90	-108.405	-395569	-100.108	-365293	-0.021	-75	-0.021	-75	
100	10.00	-109.169	-398357	-100.759	-367668	-0.021	-76	-0.021	-76	
101	10.10	-109.934	-401149	-101.410	-370046	-0.021	-77	-0.021	-77	
102	10.20	-110.701	-403949	-102.062	-372424	-0.021	-78	-0.021	-78	
103	10.30	-111.494	-406842	-102.734	-374877	-0.021	-78	-0.021	-78	
104	10.40	-112.264	-409652	-103.386	-377256	-0.022	-79	-0.022	-79	
105	10.50	-113.037	-412471	-104.038	-379633	-0.022	-80	-0.022	-80	
106	10.60	-113.810	-415293	-104.689	-382011	-0.022	-81	-0.022	-81	
107	10.70	-114.610	-418212	-105.362	-384465	-0.022	-81	-0.022	-81	
108	10.80	-115.388	-421050	-106.013	-386843	-0.022	-82	-0.022	-82	
109	10.90	-116.166	-423890	-106.665	-389222	-0.023	-83	-0.023	-83	
110	11.00	-116.947	-426741	-107.317	-391601	-0.023	-84	-0.023	-84	
111	11.10	-117.754	-429685	-107.990	-394054	-0.023	-84	-0.023	-84	
112	11.20	-118.337	-431812	-108.549	-396096	-0.023	-85	-0.023	-85	
113	11.30	-117.585	-429066	-107.923	-393812	-0.024	-86	-0.024	-86	
114	11.40	-116.753	-426033	-107.230	-391282	-0.024	-87	-0.024	-87	
115	11.50	-115.948	-423094	-106.558	-388829	-0.024	-87	-0.024	-87	
116	11.60	-115.121	-420076	-105.864	-386299	-0.024	-88	-0.024	-88	
117	11.70	-114.295	-417063	-105.171	-383769	-0.024	-89	-0.024	-89	
118	11.80	-113.495	-414145	-104.498	-381315	-0.024	-89	-0.024	-89	
119	11.90	-112.674	-411148	-103.805	-378786	-0.025	-90	-0.025	-90	
120	12.00	-111.854	-408157	-103.112	-376257	-0.025	-91	-0.025	-91	
121	12.10	-111.036	-405171	-102.419	-373727	-0.025	-92	-0.025	-92	
122	12.20	-110.244	-402282	-101.747	-371274	-0.025	-92	-0.025	-92	
123	12.30	-109.430	-399309	-101.054	-368745	-0.025	-93	-0.025	-93	
124	12.40	-108.617	-396345	-100.361	-366217	-0.026	-94	-0.026	-94	
125	12.50	-107.807	-393388	-99.668	-363689	-0.026	-95	-0.026	-95	
126	12.60	-107.022	-390523	-98.996	-361238	-0.026	-95	-0.026	-95	
127	12.70	-106.215	-387578	-98.304	-358712	-0.026	-96	-0.026	-96	
128	12.80	-106.543	-388775	-98.661	-360015	-0.027	-97	-0.027	-97	
129	12.90	-107.303	-391547	-99.312	-362390	-0.027	-98	-0.027	-98	
130	13.00	-108.088	-394414	-99.984	-364842	-0.027	-98	-0.027	-98	
