Faktor:3643 Corr:46.13
Pos	Time_ms	SampleAX_Out	SampleAX_Out_raw	SampleBX_Out	SampleBX_Out_raw	Encoderzähler Encoder0	Encoderzähler Encoder0_raw	Encoderzähler Encoder1	Encoderzähler Encoder1_raw
0	0.00	119.069	433770	0.000	0	0.000	-1	0.000	-1	
1	0.10	118.240	430749	0.000	0	-0.001	-2	-0.001	-2	
2	0.20	117.390	427653	0.000	0	-0.001	-4	-0.001	-4	
3	0.30	116.568	424658	0.000	0	-0.001	-5	-0.001	-5	
4	0.40	115.750	421676	0.000	0	-0.002	-6	-0.002	-6	
5	0.50	114.911	418621	0.000	0	-0.002	-8	-0.002	-8	
6	0.60	114.100	415665	0.000	0	-0.002	-9	-0.002	-9	
7	0.70	113.291	412720	0.000	0	-0.003	-10	-0.003	-10	
8	0.80	112.486	409786	0.000	0	-0.003	-11	-0.003	-11	
9	0.90	111.660	406777	0.000	0	-0.004	-13	-0.004	-13	
10	1.00	110.861	403866	0.000	0	-0.004	-14	-0.004	-14	
11	1.10	110.065	400967	0.000	0	-0.004	-15	-0.004	-15	
12	1.20	109.250	397996	0.000	0	-0.005	-17	-0.005	-17	
13	1.30	108.460	395118	0.000	0	-0.005	-18	-0.005	-18	
14	1.40	107.673	392253	0.000	0	-0.005	-19	-0.005	-19	
15	1.50	106.889	389398	0.000	0	-0.005	-20	-0.005	-20	
16	1.60	106.086	386471	0.000	0	-0.006	-22	-0.006	-22	
17	1.70	105.309	383639	0.000	0	-0.006	-23	-0.006	-23	
18	1.80	104.534	380817	0.000	0	-0.007	-24	-0.007	-24	
19	1.90	103.739	377921	0.000	0	-0.007	-26	-0.007	-26	
20	2.00	102.970	375120	0.000	0	-0.007	-27	-0.007	-27	
21	2.10	102.204	372329	0.000	0	-0.008	-28	-0.008	-28	
22	2.20	101.440	369546	0.000	0	-0.008	-29	-0.008	-29	
23	2.30	100.657	366693	0.000	0	-0.009	-31	-0.009	-31	
24	2.40	99.898	363930	0.000	0	-0.009	-32	-0.009	-32	
25	2.50	99.142	361176	0.000	0	-0.009	-33	-0.009	-33	
26	2.60	98.389	358432	0.000	0	-0.009	-34	-0.009	-34	
27	2.70	97.616	355615	0.000	0	-0.010	-36	-0.010	-36	
28	2.80	96.868	352889	0.000	0	-0.010	-37	-0.010	-37	
29	2.90	96.121	350170	0.000	0	-0.010	-38	-0.010	-38	
30	3.00	95.377	347460	0.000	0	-0.011	-39	-0.011	-39	
31	3.10	94.614	344678	0.000	0	-0.011	-41	-0.011	-41	
32	3.20	93.874	341983	0.000	0	-0.012	-42	-0.012	-42	
33	3.30	93.137	339297	0.000	0	-0.012	-43	-0.012	-43	
34	3.40	92.402	336619	0.000	0	-0.012	-44	-0.012	-44	
35	3.50	91.646	333865	0.000	0	-0.013	-46	-0.013	-46	
36	3.60	90.914	331200	0.000	0	-0.013	-47	-0.013	-47	
37	3.70	90.184	328540	0.000	0	-0.013	-48	-0.013	-48	
